Number of images loaded: 10023
Loaded 9428 training samples
Loaded 496 validation samples
Loaded 104 test samples
EPOCH 77/300 	 train loss 0.019631734117865562 	 val loss 0.020908914506435394

EPOCH 78/300 	 train loss 0.019561856985092163 	 val loss 0.021065885201096535

EPOCH 79/300 	 train loss 0.01953333057463169 	 val loss 0.021530071273446083

EPOCH 80/300 	 train loss 0.019462741911411285 	 val loss 0.021596750244498253

EPOCH 81/300 	 train loss 0.019432056695222855 	 val loss 0.021308619529008865

EPOCH 82/300 	 train loss 0.01933261938393116 	 val loss 0.02103138156235218

EPOCH 83/300 	 train loss 0.01942022331058979 	 val loss 0.021932264789938927

EPOCH 84/300 	 train loss 0.019292620941996574 	 val loss 0.021351153030991554

EPOCH 85/300 	 train loss 0.019245197996497154 	 val loss 0.02167121320962906

EPOCH 86/300 	 train loss 0.019186947494745255 	 val loss 0.022398121654987335

EPOCH 87/300 	 train loss 0.019166912883520126 	 val loss 0.021093446761369705

EPOCH 88/300 	 train loss 0.019122125580906868 	 val loss 0.021143261343240738

EPOCH 89/300 	 train loss 0.019134949892759323 	 val loss 0.020763369277119637

EPOCH 90/300 	 train loss 0.019088493660092354 	 val loss 0.021215515211224556

EPOCH 91/300 	 train loss 0.019069351255893707 	 val loss 0.021110912784934044

EPOCH 92/300 	 train loss 0.019007153809070587 	 val loss 0.020758142694830894

EPOCH 93/300 	 train loss 0.018974285572767258 	 val loss 0.021064335480332375

EPOCH 94/300 	 train loss 0.018864592537283897 	 val loss 0.020431077107787132

EPOCH 95/300 	 train loss 0.018878305330872536 	 val loss 0.020347457379102707

EPOCH 96/300 	 train loss 0.01886574737727642 	 val loss 0.020530426874756813

EPOCH 97/300 	 train loss 0.01881832256913185 	 val loss 0.020848505198955536

EPOCH 98/300 	 train loss 0.01873965375125408 	 val loss 0.02095578797161579

EPOCH 99/300 	 train loss 0.018746834248304367 	 val loss 0.022115463390946388

EPOCH 100/300 	 train loss 0.018728721886873245 	 val loss 0.02076524682343006

EPOCH 101/300 	 train loss 0.018709497526288033 	 val loss 0.020664667710661888

EPOCH 102/300 	 train loss 0.018645551055669785 	 val loss 0.02072986029088497

EPOCH 103/300 	 train loss 0.018585512414574623 	 val loss 0.02080761268734932

EPOCH 104/300 	 train loss 0.018620170652866364 	 val loss 0.02039956860244274

EPOCH 105/300 	 train loss 0.01862507313489914 	 val loss 0.020907685160636902

EPOCH 106/300 	 train loss 0.018582141026854515 	 val loss 0.020371675491333008

EPOCH 107/300 	 train loss 0.018526725471019745 	 val loss 0.020357931032776833

EPOCH 108/300 	 train loss 0.01858605071902275 	 val loss 0.020207148045301437

EPOCH 109/300 	 train loss 0.018511738628149033 	 val loss 0.020135095342993736

EPOCH 110/300 	 train loss 0.01845584809780121 	 val loss 0.02054489590227604

EPOCH 111/300 	 train loss 0.018445666879415512 	 val loss 0.02055739052593708

EPOCH 112/300 	 train loss 0.018477769568562508 	 val loss 0.021307457238435745

EPOCH 113/300 	 train loss 0.018391519784927368 	 val loss 0.020334945991635323

EPOCH 114/300 	 train loss 0.018356459215283394 	 val loss 0.02163678966462612

EPOCH 115/300 	 train loss 0.018338995054364204 	 val loss 0.020420044660568237

EPOCH 116/300 	 train loss 0.018266085535287857 	 val loss 0.020242244005203247

EPOCH 117/300 	 train loss 0.018276214599609375 	 val loss 0.020211320370435715

EPOCH 118/300 	 train loss 0.018271733075380325 	 val loss 0.020701417699456215

EPOCH 119/300 	 train loss 0.01825646497309208 	 val loss 0.020790552720427513

EPOCH 120/300 	 train loss 0.018210195004940033 	 val loss 0.021223846822977066

EPOCH 121/300 	 train loss 0.01812788099050522 	 val loss 0.02023972198367119

EPOCH 122/300 	 train loss 0.018170436844229698 	 val loss 0.019976967945694923

EPOCH 123/300 	 train loss 0.01810491271317005 	 val loss 0.02029663696885109

EPOCH 124/300 	 train loss 0.0181136392056942 	 val loss 0.019942859187722206

EPOCH 125/300 	 train loss 0.018038475885987282 	 val loss 0.02152133546769619

EPOCH 126/300 	 train loss 0.018059931695461273 	 val loss 0.01978483237326145

EPOCH 127/300 	 train loss 0.017982242628932 	 val loss 0.019778015092015266

EPOCH 128/300 	 train loss 0.01799558289349079 	 val loss 0.01999015361070633

EPOCH 129/300 	 train loss 0.01798696629703045 	 val loss 0.019555898383259773

EPOCH 130/300 	 train loss 0.017954174429178238 	 val loss 0.02021249756217003

EPOCH 131/300 	 train loss 0.017928367480635643 	 val loss 0.019458642229437828

EPOCH 132/300 	 train loss 0.017929058521986008 	 val loss 0.020724155008792877

EPOCH 133/300 	 train loss 0.01790558360517025 	 val loss 0.020254047587513924

EPOCH 134/300 	 train loss 0.017869621515274048 	 val loss 0.01945701241493225

EPOCH 135/300 	 train loss 0.017860498279333115 	 val loss 0.019482456147670746

EPOCH 136/300 	 train loss 0.017829619348049164 	 val loss 0.021076420322060585

EPOCH 137/300 	 train loss 0.017815127968788147 	 val loss 0.019723957404494286

EPOCH 138/300 	 train loss 0.017780493944883347 	 val loss 0.020062314346432686

EPOCH 139/300 	 train loss 0.017751852050423622 	 val loss 0.01974436454474926

EPOCH 140/300 	 train loss 0.017751168459653854 	 val loss 0.019499866291880608

EPOCH 141/300 	 train loss 0.01773289032280445 	 val loss 0.021206185221672058

EPOCH 142/300 	 train loss 0.017649471759796143 	 val loss 0.019871585071086884

EPOCH 143/300 	 train loss 0.017725858837366104 	 val loss 0.019855733960866928

EPOCH 144/300 	 train loss 0.01762072928249836 	 val loss 0.018978163599967957

EPOCH 145/300 	 train loss 0.017649538815021515 	 val loss 0.019101273268461227

EPOCH 146/300 	 train loss 0.017631016671657562 	 val loss 0.019230201840400696

EPOCH 147/300 	 train loss 0.01761532574892044 	 val loss 0.020012732595205307

EPOCH 148/300 	 train loss 0.01756298914551735 	 val loss 0.019416119903326035

EPOCH 149/300 	 train loss 0.01754484325647354 	 val loss 0.019597740843892097

EPOCH 150/300 	 train loss 0.017537739127874374 	 val loss 0.01954278163611889

EPOCH 151/300 	 train loss 0.01750939153134823 	 val loss 0.019493553787469864

EPOCH 152/300 	 train loss 0.01747296378016472 	 val loss 0.019099989905953407

EPOCH 153/300 	 train loss 0.017456604167819023 	 val loss 0.02025129646062851

EPOCH 154/300 	 train loss 0.017415441572666168 	 val loss 0.02234521135687828

EPOCH 155/300 	 train loss 0.017443859949707985 	 val loss 0.02002689801156521

EPOCH 156/300 	 train loss 0.017374947667121887 	 val loss 0.019962400197982788

EPOCH 157/300 	 train loss 0.01734374649822712 	 val loss 0.01963021047413349

EPOCH 158/300 	 train loss 0.01732669398188591 	 val loss 0.019050898030400276

EPOCH 159/300 	 train loss 0.01732049323618412 	 val loss 0.02233295328915119

EPOCH 160/300 	 train loss 0.017332110553979874 	 val loss 0.019130408763885498

EPOCH 161/300 	 train loss 0.01723283715546131 	 val loss 0.019627423956990242

EPOCH 162/300 	 train loss 0.01724969409406185 	 val loss 0.019220702350139618

EPOCH 163/300 	 train loss 0.017179694026708603 	 val loss 0.020467741414904594

EPOCH 164/300 	 train loss 0.01723836548626423 	 val loss 0.021354766562581062

EPOCH 165/300 	 train loss 0.01718900538980961 	 val loss 0.018945040181279182

EPOCH 166/300 	 train loss 0.01714852638542652 	 val loss 0.019000163301825523

EPOCH 167/300 	 train loss 0.01712530478835106 	 val loss 0.018935659900307655

EPOCH 168/300 	 train loss 0.01713518239557743 	 val loss 0.01972104236483574

EPOCH 169/300 	 train loss 0.01712350733578205 	 val loss 0.018849190324544907

EPOCH 170/300 	 train loss 0.017093883827328682 	 val loss 0.018680425360798836

EPOCH 171/300 	 train loss 0.01706601120531559 	 val loss 0.018790053203701973

EPOCH 172/300 	 train loss 0.017068790271878242 	 val loss 0.02038542740046978

EPOCH 173/300 	 train loss 0.017053717747330666 	 val loss 0.02030288241803646

EPOCH 174/300 	 train loss 0.01703781448304653 	 val loss 0.020277101546525955

